Date,Account,Ticker,CUSIP,Name,Share Quantity,Price,Market Value,Weight,NetAssets,SharesOutstanding,CreationUnits,ETF Ticker
2026-02-07,BLOX,ETHA  260213C00016000,ETHA  260213C00016000,ISHARES  CLL OPT 02/26 16,5567,0.4,222680.0,0.11,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,BLSH  260213P00025000,BLSH  260213P00025000,BULLISH  PUT OPT 02/26 25,1369,1.625,222462.5,0.11,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CRCL  260213P00054000,CRCL  260213P00054000,CRCL US 02/13/26 P54,381,5.25,200025.0,0.1,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CRWV  260213P00079000,CRWV  260213P00079000,COREWEAV PUT OPT 02/26 79,257,7.85,201745.0,0.1,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CRCL  260213P00053000,CRCL  260213P00053000,CRCL US 02/13/26 P53,385,4.6,177100.0,0.09,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,TSM   260206P00330000,TSM   260206P00330000,TSM US 02/06/26 P330,455,3.65,166075.0,0.08,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,MSTR  260213P00109000,MSTR  260213P00109000,STRATEGY PUT OPT 02/26 109,113,11.425,129102.5,0.06,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,MARA  260213P00006000,MARA  260213P00006000,MARA HOL PUT OPT 02/26 6,3554,0.31,110174.0,0.05,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,COIN  260206P00202500,COIN  260206P00202500,COIN US 02/06/26 P202.5,8,57.65,46120.0,0.02,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,COIN  260206P00185000,COIN  260206P00185000,COIN US 02/06/26 P185,10,38.95,38950.0,0.02,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,BMNR  260206P00022000,BMNR  260206P00022000,BMNR US 02/06/26 P22,28,4.875,13650.0,0.01,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,CRWV  260206P00095000,CRWV  260206P00095000,CRWV US 02/06/26 P95,7,20.55,14385.0,0.01,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,IREN  260206P00050000,IREN  260206P00050000,IREN US 02/06/26 P50,12,10.625,12750.0,0.01,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,FBTC  260213C00068000,FBTC  260213C00068000,FBTC US 02/13/26 C68,5390,0.03,16170.0,0.01,203480675.0,14750000,590.0,BLOX
2026-02-07,BLOX,IREN  260206C00070000,IREN  260206C00070000,IREN US 02/06/26 C70,3246,0.045,14607.0,0.01,203480675.0,14750000,590.0,BLOX
